,id,chan,dir,ptc,xhigh,xlow,yhigh,ylow
159,159,SINK,,5,1,1,2,2
160,160,SINK,,6,1,1,2,2
161,161,SOURCE,,7,1,1,2,2
162,162,SINK,,8,1,1,2,2
163,163,SINK,,9,1,1,2,2
164,164,SOURCE,,10,1,1,2,2
165,165,SINK,,11,1,1,2,2
166,166,SINK,,12,1,1,2,2
167,167,SOURCE,,13,1,1,2,2
168,168,SINK,,14,1,1,2,2
169,169,SINK,,15,1,1,2,2
170,170,SOURCE,,16,1,1,2,2
171,171,SINK,,17,1,1,2,2
172,172,SINK,,18,1,1,2,2
173,173,SOURCE,,19,1,1,2,2
174,174,SINK,,20,1,1,2,2
175,175,SINK,,21,1,1,2,2
176,176,SOURCE,,22,1,1,2,2
177,177,SINK,,23,1,1,2,2
178,178,IPIN,,0,1,1,2,2
179,179,OPIN,,1,1,1,2,2
180,180,IPIN,,2,1,1,2,2
181,181,IPIN,,3,1,1,2,2
182,182,OPIN,,4,1,1,2,2
183,183,IPIN,,5,1,1,2,2
184,184,IPIN,,6,1,1,2,2
185,185,OPIN,,7,1,1,2,2
186,186,IPIN,,8,1,1,2,2
187,187,IPIN,,9,1,1,2,2
188,188,OPIN,,10,1,1,2,2
189,189,IPIN,,11,1,1,2,2
190,190,IPIN,,12,1,1,2,2
191,191,OPIN,,13,1,1,2,2
192,192,IPIN,,14,1,1,2,2
193,193,IPIN,,15,1,1,2,2
194,194,OPIN,,16,1,1,2,2
195,195,IPIN,,17,1,1,2,2
196,196,IPIN,,18,1,1,2,2
197,197,OPIN,,19,1,1,2,2
198,198,IPIN,,20,1,1,2,2
199,199,IPIN,,21,1,1,2,2
200,200,OPIN,,22,1,1,2,2
201,201,IPIN,,23,1,1,2,2
202,202,SINK,,0,2,2,1,1
203,203,SOURCE,,1,2,2,1,1
204,204,SINK,,2,2,2,1,1
205,205,SINK,,3,2,2,1,1
206,206,SOURCE,,4,2,2,1,1
207,207,SINK,,5,2,2,1,1
208,208,SINK,,6,2,2,1,1
209,209,SOURCE,,7,2,2,1,1
210,210,SINK,,8,2,2,1,1
211,211,SINK,,9,2,2,1,1
212,212,SOURCE,,10,2,2,1,1
213,213,SINK,,11,2,2,1,1
214,214,SINK,,12,2,2,1,1
215,215,SOURCE,,13,2,2,1,1
216,216,SINK,,14,2,2,1,1
217,217,SINK,,15,2,2,1,1
218,218,SOURCE,,16,2,2,1,1
219,219,SINK,,17,2,2,1,1
220,220,SINK,,18,2,2,1,1
221,221,SOURCE,,19,2,2,1,1
222,222,SINK,,20,2,2,1,1
223,223,SINK,,21,2,2,1,1
224,224,SOURCE,,22,2,2,1,1
225,225,SINK,,23,2,2,1,1
226,226,IPIN,,0,2,2,1,1
227,227,OPIN,,1,2,2,1,1
228,228,IPIN,,2,2,2,1,1
229,229,IPIN,,3,2,2,1,1
230,230,OPIN,,4,2,2,1,1
231,231,IPIN,,5,2,2,1,1
232,232,IPIN,,6,2,2,1,1
233,233,OPIN,,7,2,2,1,1
234,234,IPIN,,8,2,2,1,1
235,235,IPIN,,9,2,2,1,1
236,236,OPIN,,10,2,2,1,1
237,237,IPIN,,11,2,2,1,1
238,238,IPIN,,12,2,2,1,1
239,239,OPIN,,13,2,2,1,1
240,240,IPIN,,14,2,2,1,1
241,241,IPIN,,15,2,2,1,1
242,242,OPIN,,16,2,2,1,1
243,243,IPIN,,17,2,2,1,1
244,244,IPIN,,18,2,2,1,1
245,245,OPIN,,19,2,2,1,1
246,246,IPIN,,20,2,2,1,1
247,247,IPIN,,21,2,2,1,1
248,248,OPIN,,22,2,2,1,1
249,249,IPIN,,23,2,2,1,1
250,250,CHANX,INC_DIR,0,1,1,0,0
251,251,CHANX,DEC_DIR,1,1,1,0,0
252,252,CHANX,INC_DIR,2,1,1,0,0
253,253,CHANX,DEC_DIR,3,1,1,0,0
254,254,CHANX,INC_DIR,4,1,1,0,0
255,255,CHANX,DEC_DIR,5,1,1,0,0
256,256,CHANX,INC_DIR,6,1,1,0,0
257,257,CHANX,DEC_DIR,7,1,1,0,0
258,258,CHANX,INC_DIR,8,1,1,0,0
259,259,CHANX,DEC_DIR,9,1,1,0,0
260,260,CHANX,INC_DIR,10,1,1,0,0
261,261,CHANX,DEC_DIR,11,1,1,0,0
262,262,CHANX,INC_DIR,12,1,1,0,0
263,263,CHANX,DEC_DIR,13,1,1,0,0
264,264,CHANX,INC_DIR,14,1,1,0,0
265,265,CHANX,DEC_DIR,15,1,1,0,0
266,266,CHANX,INC_DIR,16,1,1,0,0
267,267,CHANX,DEC_DIR,17,1,1,0,0
268,268,CHANX,INC_DIR,18,1,1,0,0
269,269,CHANX,DEC_DIR,19,1,1,0,0
270,270,CHANX,INC_DIR,20,1,1,0,0
271,271,CHANX,DEC_DIR,21,1,1,0,0
272,272,CHANX,INC_DIR,22,1,1,0,0
273,273,CHANX,DEC_DIR,23,1,1,0,0
274,274,CHANX,INC_DIR,24,1,1,0,0
275,275,CHANX,DEC_DIR,25,1,1,0,0
276,276,CHANX,INC_DIR,26,1,1,0,0
277,277,CHANX,DEC_DIR,27,1,1,0,0
278,278,CHANX,INC_DIR,28,1,1,0,0
279,279,CHANX,DEC_DIR,29,1,1,0,0
280,280,CHANX,INC_DIR,30,1,1,0,0
281,281,CHANX,DEC_DIR,31,1,1,0,0
282,282,CHANX,INC_DIR,32,1,1,0,0
283,283,CHANX,DEC_DIR,33,1,1,0,0
284,284,CHANX,INC_DIR,34,1,1,0,0
285,285,CHANX,DEC_DIR,35,1,1,0,0
286,286,CHANX,INC_DIR,36,1,1,0,0
287,287,CHANX,DEC_DIR,37,1,1,0,0
288,288,CHANX,INC_DIR,38,1,1,0,0
289,289,CHANX,DEC_DIR,39,1,1,0,0
290,290,CHANX,INC_DIR,40,1,1,0,0
291,291,CHANX,DEC_DIR,41,1,1,0,0
292,292,CHANX,INC_DIR,42,1,1,0,0
293,293,CHANX,DEC_DIR,43,1,1,0,0
294,294,CHANX,INC_DIR,44,1,1,0,0
295,295,CHANX,DEC_DIR,45,1,1,0,0
296,296,CHANX,INC_DIR,46,1,1,0,0
297,297,CHANX,DEC_DIR,47,1,1,0,0
298,298,CHANX,INC_DIR,48,1,1,0,0
299,299,CHANX,DEC_DIR,49,1,1,0,0
300,300,CHANX,INC_DIR,0,1,1,1,1
301,301,CHANX,DEC_DIR,1,1,1,1,1
302,302,CHANX,INC_DIR,2,1,1,1,1
303,303,CHANX,DEC_DIR,3,1,1,1,1
304,304,CHANX,INC_DIR,4,1,1,1,1
305,305,CHANX,DEC_DIR,5,1,1,1,1
306,306,CHANX,INC_DIR,6,1,1,1,1
307,307,CHANX,DEC_DIR,7,1,1,1,1
308,308,CHANX,INC_DIR,8,1,1,1,1
309,309,CHANX,DEC_DIR,9,1,1,1,1
310,310,CHANX,INC_DIR,10,1,1,1,1
311,311,CHANX,DEC_DIR,11,1,1,1,1
312,312,CHANX,INC_DIR,12,1,1,1,1
313,313,CHANX,DEC_DIR,13,1,1,1,1
314,314,CHANX,INC_DIR,14,1,1,1,1
315,315,CHANX,DEC_DIR,15,1,1,1,1
316,316,CHANX,INC_DIR,16,1,1,1,1
317,317,CHANX,DEC_DIR,17,1,1,1,1
318,318,CHANX,INC_DIR,18,1,1,1,1
319,319,CHANX,DEC_DIR,19,1,1,1,1
320,320,CHANX,INC_DIR,20,1,1,1,1
321,321,CHANX,DEC_DIR,21,1,1,1,1
322,322,CHANX,INC_DIR,22,1,1,1,1
323,323,CHANX,DEC_DIR,23,1,1,1,1
324,324,CHANX,INC_DIR,24,1,1,1,1
325,325,CHANX,DEC_DIR,25,1,1,1,1
326,326,CHANX,INC_DIR,26,1,1,1,1
